run_data
Chunk number 0
11110100000111010000001000100110,01100111010001010010001100000001,01111011111100110110101011100010,10011000101110101101110011111110,00010000001100100101010001110110
00001010101111100111011101011110,11110100000111010000001000100110,01011001110100010100100011000000,01111011111100110110101011100010,10011000101110101101110011111110
00011010011000010001001001111101,00001010101111100111011101011110,10111101000001110100000010001001,01011001110100010100100011000000,01111011111100110110101011100010
10011100010010001110111111000110,00011010011000010001001001111101,10000010101011111001110111010111,10111101000001110100000010001001,01011001110100010100100011000000
01010101000010110111000101100100,10011100010010001110111111000110,01000110100110000100010010011111,10000010101011111001110111010111,10111101000001110100000010001001
00101001000110101010000010101111,01010101000010110111000101100100,10100111000100100011101111110001,01000110100110000100010010011111,10000010101011111001110111010111
10000001001110001101011010111001,00101001000110101010000010101111,00010101010000101101110001011001,10100111000100100011101111110001,01000110100110000100010010011111
11000111101011001010100111101110,10000001001110001101011010111001,11001010010001101010100000101011,00010101010000101101110001011001,10100111000100100011101111110001
11111111110101001110111000110000,11000111101011001010100111101110,01100000010011100011010110101110,11001010010001101010100000101011,00010101010000101101110001011001
00010111110100011010000000111001,11111111110101001110111000110000,10110001111010110010101001111011,01100000010011100011010110101110,11001010010001101010100000101011
01000101001011001101011111000100,00010111110100011010000000111001,00111111111101010011101110001100,10110001111010110010101001111011,01100000010011100011010110101110
10000100110101100100000010000000,01000101001011001101011111000100,01000101111101000110100000001110,00111111111101010011101110001100,10110001111010110010101001111011
01010101010010110111010110010101,10000100110101100100000010000000,00010001010010110011010111110001,01000101111101000110100000001110,00111111111101010011101110001100
11110101011101001100011010010000,01010101010010110111010110010101,00100001001101011001000000100000,00010001010010110011010111110001,01000101111101000110100000001110
01110000011100110011110110011001,11110101011101001100011010010000,01010101010100101101110101100101,00100001001101011001000000100000,00010001010010110011010111110001
00110100111110100110010101011000,01110000011100110011110110011001,00111101010111010011000110100100,01010101010100101101110101100101,00100001001101011001000000100000
